MENU082,KADHAI PANEER,PANEER,Main Course,PORTION,PORTION,300,10
MENU083,SHAHI PANEER,PANEER,Main Course,PORTION,PORTION,300,10
MENU084,PANEER KHURCHAN,PANEER,Main Course,PORTION,PORTION,300,10
MENU085,MUTTER PANEER,PANEER,Main Course,PORTION,PORTION,300,10
MENU086,PANEER BHURJI,PANEER,Main Course,PORTION,PORTION,300,10
MENU087,PANEER DO PYAZA,PANEER,Main Course,PORTION,PORTION,290,10
MENU088,PALAK PANEER,PANEER,Main Course,PORTION,PORTION,290,10
MENU089,BHINDI BHURJI,VEG DRY,Main Course,PORTION,PORTION,275,10
MENU090,ALOO BHURJI,VEG DRY,Main Course,PORTION,PORTION,200,10
MENU091,PLAIN RICE,RICE,Main Course,PORTION,PORTION,175,10
MENU092,JEERARICE,RICE,Main Course,PORTION,PORTION,200,10
MENU093,VEG.PULAO,RICE,Main Course,PORTION,PORTION,250,10
MENU094,VEG BIRYANI,BIRYANI,Main Course,PORTION,PORTION,300,10
MENU095,CURD RICE,RICE,Main Course,PORTION,PORTION,300,10
MENU096,DAL KHICHRI,RICE,Main Course,PORTION,PORTION,250,10
MENU097,PLAIN CURD,CURD,Main Course,PORTION,PORTION,125,10
MENU098,MIX RAITA,RAITA,Main Course,PORTION,PORTION,150,10
MENU099,ONION RAITA,RAITA,Main Course,PORTION,PORTION,150,10
MENU100,BOONDI RAITA,RAITA,Main Course,PORTION,PORTION,150,10
MENU101,CHICKEN BIRYANI,BIRYANI,Main Course,PORTION,PORTION,450,10
MENU102,MUTTONBIRYANI,BIRYANI,Main Course,PORTION,PORTION,550,10
MENU103,EGG BIRYANI,BIRYANI,Main Course,PORTION,PORTION,350,10
MENU104,CHICKEN CURRY HALF (4 PCS),CHICKEN CURRY,Main Course,PORTION,PORTION,450,10
MENU105,CHICKEN CURRY FULL (8 PCS),CHICKEN CURRY,Main Course,PORTION,PORTION,650,10
MENU106,CHICKEN MASALA HALF (4 PCS),CHICKEN CURRY,Main Course,PORTION,PORTION,450,10
MENU107,CHICKEN MASALA FULL (8 PCS),CHICKEN CURRY,Main Course,PORTION,PORTION,680,10
MENU108,KADHAI CHICKEN HALF (4 PCS),CHICKEN CURRY,Main Course,PORTION,PORTION,450,10
MENU109,KADHAI CHICKEN FULL (8 PCS),CHICKEN CURRY,Main Course,PORTION,PORTION,700,10
MENU110,CHICKEN LABABDAR HALF (4 PCS),CHICKEN CURRY,Main Course,PORTION,PORTION,450,10
MENU111,CHICKEN LABABDAR FULL (8 PCS),CHICKEN CURRY,Main Course,PORTION,PORTION,700,10
MENU113,BUTTER CHICKEN BONELESS,CHICKEN CURRY,Main Course,PORTION,PORTION,450,10
MENU114,BUTTER CHICKEN WITH BONE,CHICKEN CURRY,Main Course,PORTION,PORTION,500,10
MENU116,EGG CURRY (2PCS),EGG CURRY,Main Course,PORTION,PORTION,250,10
MENU117,EGG MASALA (2PCS),EGG CURRY,Main Course,PORTION,PORTION,250,10
MENU120,PALAK MUTTON (4PCS),NAAN,NAAN,PCS,PCS,550,10
MENU121,CHAPATI TAWA ROTI,NAAN,NAAN,PCS,PCS,25,10
MENU122,BUTTERED TAWA ROTI,NAAN,NAAN,PCS,PCS,30,10
MENU123,TANDOORI ROTI,TANDOOR BREAD,TANDOOR BREAD,PCS,PCS,50,10
MENU124,TANDOORI BUTTER ROTI,TANDOOR BREAD,TANDOOR BREAD,PCS,PCS,60,10
MENU125,BUTTER NAAN,NAAN,NAAN,PCS,PCS,80,10
MENU126,PLAIN NAAN,NAAN,NAAN,PCS,PCS,80,10
MENU127,GARLIC NAAN,NAAN,NAAN,PCS,PCS,100,10
MENU128,GULAB JAMUN  (2 PCS)                                                                          ,DESSERT,DESSERT,PCS,PCS,125,10
