KM33,RAI DANA/BROWN MUSTARAD,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.200,,,,,
KM34,KHUS KHUS /POPPY SEEDS ,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.500,1.000,,,,
KM35,KESAR /SAFFRON ,Masala ,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.010,0.020,,,,
KBF1,TEA LEAVES REGULAR ,BF Essentials,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,3.000,,,,
KBF2,Coffee ,BF Essentials,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.500,1.000,,,,
KBF3,MUSELI ,BF Essentials,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,1.000,2.000,,,,
KBF4,CORNFLAKES,BF Essentials,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,3.000,,,,
KBF5,CHOCOS,BF Essentials,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,3.000,,,,
KBF6,KISSAN MIX JAM ,BF Essentials,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,2.500,,,,
KBF7,BUTTER CHIPLETS ,BF Essentials,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,3.000,,,,
KBF8,VEEBA EGGLESS MAYONISE ,BF Essentials,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,3.000,,,,
KBF9,BOURNVITA,BF Essentials,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.500,1.000,,,,750
KBF10,HOT CHOCOLATE ,BF Essentials,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,1.000,1.500,,,,675
KBF11,VERMICILI PLAIN WHITE ,BF Essentials,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,2.000,3.000,,,,
KBF12,VERMICILI ROASTED BROWN  ,BF Essentials,818,813,669,669,,,,DELHI- RAMAVATAR Prov ,96,,,,0.500,1.000,,,,
