A 048,SATSUMA AGE,320,340,276,276,398.31,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 049,GRILLED SAUSAGE,320,340,276,276,610.17,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 050,TEPPAN GYOZA (VEG) - ( R ),320,340,276,276,406.78,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 051,TEPPAN GYOZA (VEG) -  ( H ),320,340,276,276,254.24,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 052,TABASAKI KARAGE,320,340,276,276,389.83,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 053,TAKONO KARAGE,320,340,276,276,389.83,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 054,FRIED POTATO,320,340,276,276,245.76,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 055,TORINO KARAGE,320,340,276,276,389.83,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 056,CURRY POTATO,320,340,276,276,279.66,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 057,AGE GYOZA (VEG/NON-VEG),320,340,276,276,288.135,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 058,YAKI ONIGIRI (SOYU),320,340,276,276,152.54,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 059,YAKI ONIGIRI (CHEESE),320,340,276,276,169.49,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 060,YAKI ONIGIRI (MISO),320,340,276,276,169.49,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 061,CRUNCHY EBI ROLL,320,340,276,276,745.76,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 062,TAJ MAHAL ROLL,320,340,276,276,661.02,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 063,ROUTE ROLL 66,320,340,276,276,830.51,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 064,DYNAMITE ROLL,320,340,276,276,745.76,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 065,KUURAKU CALIFORNIA ROLL,320,340,276,276,745.76,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 066,NEGIMA (3 STICKS SET) (T ),320,340,276,276,305.09,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 067,NEGIMA (3 STICKS SET) (S ),320,340,276,276,305.09,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 068,MOMO  (3 STICKS SET) (T ),320,340,276,276,288.14,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 069,MOMO  (3 STICKS SET) (S ),320,340,276,276,288.14,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 070,TSUKUNE  (3 STICKS SET) (T ),320,340,276,276,322.03,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 071,TSUKUNE  (3 STICKS SET) (S )),320,340,276,276,322.03,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 072,CHOINOMI SET (WITHOUT DRINK & SOUP),320,340,276,276,635.59,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 073,CHEESE CAKE,320,340,276,276,237.29,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 074,TEPPAN GYOZA (NON VEG) -  ( H ),320,340,276,276,254.24,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 075,TEPPAN GYOZA (NON VEG) - ( R ),320,340,276,276,406.78,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 076,EBISEN,321,346,276,276,280,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 077,BANYA KAUDA,321,353,276,276,330,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 078,BANYA KAUDA SAUCE,321,353,276,276,70,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 079,KARAMISO CABBAGE,321,353,276,276,225,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 080,UMASHIO CABBAGE,321,353,276,276,225,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 081,NY CAESAR SALAD - FULL,321,353,276,276,395,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 082,NY CAESAR SALAD - HALF,321,353,276,276,225,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 083,EDAMAME,321,353,276,276,395,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 084,SUNAGIMO NEGIDARAKE,321,353,276,276,215,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 085,NASU DENGAKU,321,353,276,276,330,SGST@9%,9,CGST@9%,9,,0,,0,KKT,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 086,BUTA SHABU SALAD FULL,321,353,276,276,395,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 087,BUTA SHABU SALAD - HALF,321,353,276,276,225,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
A 088,PARI PARI TAN TAN PIMENT,321,353,276,276,390,SGST@9%,9,CGST@9%,9,,0,,0,KYS,0,0,0,0,A,Menu,0,0,0,0,KUURAKU,YES
