CSB,CHICKEN SANDWICH,GRILLED SANDWICHES,GRILLED SANDWICHES,plate, pcs,350,10,4
ACTB,ALOO CORN TIKKI,BURGERS,BURGERS,plate, pcs,275,10,1
PPB,PANEER PATTY,BURGERS,BURGERS,plate, pcs,275,10,1
P,POHA,VEGGIE DELIGHTS,VEGGIE DELIGHTS,plate,gram,100,10,150
ISPS,INDIAN SPICED POTATO STICKS ,VEGGIE DELIGHTS,VEGGIE DELIGHTS,plate, pcs,100,10,12
VEO,VEGETABLE EGGLESS OMLETTE,VEGGIE DELIGHTS,VEGGIE DELIGHTS,plate, pcs,100,10,1
PPB,PALAK POORI WITH BHAJI,VEGGIE DELIGHTS,VEGGIE DELIGHTS,plate,gram,250,10,150
U,UPMA,VEGGIE DELIGHTS,VEGGIE DELIGHTS,plate,gram,200,10,250
PP,PLAIN PARATHA,CHOICE OF PARATHAS,CHOICE OF PARATHAS,plate, pcs,150,10,1
APP,ALOO PYAAZ PARATHA,CHOICE OF PARATHAS,CHOICE OF PARATHAS,plate, pcs,150,10,1
MVP,MIX VEG PARATHA,CHOICE OF PARATHAS,CHOICE OF PARATHAS,plate, pcs,150,10,1
IB,INDIAN BREAKFAST,CHOICE OF BREAKFAST,CHOICE OF BREAKFAST,plate,plate,350,10,1
AB,AMERICAN BREAKFAST,CHOICE OF BREAKFAST,CHOICE OF BREAKFAST,plate,plate,550,10,1
EB,ENGLISH BREAKFAST,CHOICE OF BREAKFAST,CHOICE OF BREAKFAST,plate,plate,550,10,1
VSG,VIRJIN SANGRIA (BY GLASS),MOCKTAILS,MOCKTAILS,Glass,Glass ,700,10,1
VSB,VIRJIN SANGRIA (BY BOTTLE),MOCKTAILS,MOCKTAILS,Bottle,Glass ,2800,10,1
VM,VIRJIN MOJITO,MOCKTAILS,MOCKTAILS,Glass,Glass ,650,10,1
VIP,VIRJIN ISRISH PUNCH,MOCKTAILS,MOCKTAILS,Glass,Glass ,670,10,1
VP,VIRJIN PIPES ,MOCKTAILS,MOCKTAILS,Glass,Glass ,580,10,1
VPS,VIRJIN PRIDES,MOCKTAILS,MOCKTAILS,Glass,Glass ,470,10,1
VPC,VIRJIN PINA COLADA,MOCKTAILS,MOCKTAILS,Glass,Glass ,370,10,1
VPS,VIRJIN PASSION STAR,MOCKTAILS,MOCKTAILS,Glass,Glass ,470,10,1
VBP,VIRJIN BOMBAY PUNCH,MOCKTAILS,MOCKTAILS,Glass,Glass ,570,10,1
VBL,VIRJIN BLUE LAGOON,MOCKTAILS,MOCKTAILS,Glass,Glass ,370,10,1
