T2,"TEACHER, 50 SCOTCH  60 ml ",782,803,672,672,600,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
B3,BALLANTINE 60 ML ,782,803,672,672,480,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
T3,TAFISKER 60 ML ,782,804,672,672,660,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
L2,LAGAVULLIN 60 ML ,782,804,672,672,1050,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
GM,GLENLIVET MALT 60 ML,782,804,672,672,660,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
GF,GLEN FIDDCH 60 ML ,782,804,672,672,660,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
JD,JACK DANIELS 60 ML ,782,805,672,672,480,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
MV,MARTELL VSOP 60 ML ,783,806,672,672,600,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,1
RM,REMY MARTIN  XO 60 ML ,783,806,672,672,1750,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,1
BS,BOMBAY SAPHIRE 60 ML ,786,807,672,672,400,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
BRG,BLUE RIBBON GIN 60 ML ,786,807,672,672,360,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
GDG,GORDON DRY GIN 60 ML ,786,807,672,672,360,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
GG,GREYGOOSE 60 ML ,785,808,672,672,550,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
AB,ABSOULT BLUE 60 ML ,785,808,672,672,400,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
S2,SMIRNOFF ( ORANGE) 60 ML ,785,808,672,672,300,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
R4,RUM ( MC DOWELLS) 60 ML ,787,809,672,672,360,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
WR,WHITE RUM ( BACARDI) 60 ML ,787,809,672,672,400,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
BRG,BLACK ROM ( BACARDI) 60 ML ,787,809,672,672,500,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
OM,OLD MONK 60 ML ,787,809,672,672,400,48,,,,VAT@20%,SURCHG@20%,,0,0,0,,0,0,0,0,,MENU,,,2
HL,HOT LEMON ( BOILED MINERALWATER WITH FRESH LEMON),777,810,672,672,60,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
HG,HOT GINGER ( BOILED MINERAL WATER DASH OG FRESH GINGER JUICE ,777,810,672,672,80,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
LGWH,LEMON GINGER WITH HONEY ( BOILED GINGER EXTRACT WITH DASH OF LEMON AND HONEY ,777,810,672,672,110,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
LL,LANA LEMONADE ( HOT LEMON WITH MINT FLAVOR ),777,810,672,672,80,10,2.5,CGST@2.5%,2.5,,,,0,0,0,,0,0,0,0,,MENU,,,1
