Item Code,Item,Item Type,Item Group Main,Item Group,Item Main Unit,Item Alt Unit,Purchase Account Local,Purchase Account Interstate,Store,Conversion Qty,Min Qty,Max Qty,Rol,Roq,Item Class,Open Qty,Open Amount,Last Purchase Rate,Stock Enable Disable,Edit Name Enable Disable,Item Production Item,Item Allowed Additional,Item Disable,Purchase Rate,Batch Details,Item Details,Display Order,Status,Creation Date,Modified Date,Created By,Modified By
75,Red Chilli Powder,Ingredients,Dairy,Dairy,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
76,Sake,Ingredients,Dairy,Dairy,bottle,bottle,,,,1,,,,,,,,,,,,,,,,,,,,,,
77,Mirin,Ingredients,Dairy,Dairy,bottle,bottle,,,,1,,,,,,,,,,,,,,,,,,,,,,
78,Sugar,Ingredients,Dairy,Dairy,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
79,Cooking Soda,Ingredients,Dairy,Dairy,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
80,Maggie Veg Cube,Ingredients,Dairy,Dairy,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
81,Toasted Onion,Ingredients,Dairy,Dairy,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
82,Large Garlic,Ingredients,Dairy,Dairy,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
83,Prawan Cracker(Ebisan),Ingredients,Dairy,Dairy,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
84,Brown Rice ,Ingredients,Dairy,Dairy,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
85,Soba Noodles,Ingredients,Dairy,Dairy,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
86,Anchovie,Ingredients,Dairy,Dairy,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
87,Canday,Ingredients,Dairy,Dairy,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
88,Led Batten 20watt,Ingredients,Electrical,Electrical,pcs,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
89,S.S. Combined 16Amp,Ingredients,Electrical,Electrical,pcs,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
90,Top 16Amp.,Ingredients,Electrical,Electrical,pcs,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
91,Top 6 Amp,Ingredients,Electrical,Electrical,pcs,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
92,Led Batten 2 Feet,Ingredients,Electrical,Electrical,pcs,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
93,Egg,Ingredients,Food,Food,kg,kg,,,,1,,,,,,,,,,,,,,,,,,,,,,
94,Edamame,Ingredients,Frozen,Frozen,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
95,Wasabi Powder,Ingredients,Frozen,Frozen,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
96,Gari Soga Ginger Pickle,Ingredients,Frozen,Frozen,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
97,Gyoza Sheet,Ingredients,Frozen,Frozen,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
98,Ginger Pickle,Ingredients,Frozen,Frozen,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
99,New Ice,Ingredients,Frozen,Frozen,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
100,Tuna,Ingredients,Frozen,Frozen,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
101,Skn.Haryana,Ingredients,Gas,Gas,no,no,,,,1,,,,,,,,,,,,,,,,,,,,,,
102,Garbage Bag,Ingredients,HK,HK,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
103,Rin Alla,Ingredients,HK,HK,bottle,bottle,,,,1,,,,,,,,,,,,,,,,,,,,,,
104,Fock ,Ingredients,HK,HK,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
105,Dettol,Ingredients,HK,HK,ltr,Ml,,,,1,,,,,,,,,,,,,,,,,,,,,,
106,Lizol 5ltr,Ingredients,HK,HK,Can,CAn,,,,1,,,,,,,,,,,,,,,,,,,,,,
107,Scoth Brite 2in1,Ingredients,HK,HK,pcs,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
108,Room Freshner,Ingredients,HK,HK,pcs,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
109,Pril,Ingredients,HK,HK,ltr,Ml,,,,1,,,,,,,,,,,,,,,,,,,,,,
110,All Out Refil,Ingredients,HK,HK,pcs,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
111,Dustpan,Ingredients,HK,HK,pcs,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
112,Maharani Phoohl 500gm,Ingredients,HK,HK,pcs,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
113,Eveready Cell,Ingredients,HK,HK,pcs,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
114,Zucchini Green,Ingredients,Packaging,Packaging,pcs,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
115,Carry Bag,Ingredients,Packaging,Packaging,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
116,Silver Container 750ml,Ingredients,Packaging,Packaging,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
117,Silver Container 450ml,Ingredients,Packaging,Packaging,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
118,Clin Film Roll,Ingredients,Packaging,Packaging,case,Roll,,,,1,,,,,,,,,,,,,,,,,,,,,,
119,Kitchen Roll,Ingredients,Packaging,Packaging,Roll,Roll,,,,1,,,,,,,,,,,,,,,,,,,,,,
120,Sathiya Stic,Ingredients,Packaging,Packaging,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
121,Silver Foil,Ingredients,Packaging,Packaging,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
122,Pasta Box,Ingredients,Packaging,Packaging,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
123,Pasta Box Lid,Ingredients,Packaging,Packaging,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
124,Gyoza Sauce Box ,Ingredients,Packaging,Packaging,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
125,Gyoza Box,Ingredients,Packaging,Packaging,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
126,Gyoza Box Lid,Ingredients,Packaging,Packaging,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
127,Ace Round Container 500ml,Ingredients,Packaging,Packaging,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
128,Gyoza Box(Hinged 750ml),Ingredients,Packaging,Packaging,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
129,Black Try 60mm,Ingredients,Packaging,Packaging,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
130,Pasta Try 40mm,Ingredients,Packaging,Packaging,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
131,Chuki10 inch,Ingredients,Packaging,Packaging,Box,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
132,Butter Paper Roll,Ingredients,Packaging,Packaging,Box,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
133,4 Line Paper Bag,Ingredients,Packaging,Packaging,pcs,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
134,Paper Straw,Ingredients,Resturant,Serving,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
135,Chop Sticks,Ingredients,Resturant,Serving,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
136,Tablet Tissue,Ingredients,Resturant,Serving,pcs,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
137,Paper A4 Size,Ingredients,Stationary,Stationary,Box,Rim,,,,1,,,,,,,,,,,,,,,,,,,,,,
138,Stapler Pin Kangaru,Ingredients,Stationary,Stationary,Box,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
139,Ball Pen ,Ingredients,Stationary,Stationary,Box,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
140,Marker Permanent,Ingredients,Stationary,Stationary,Box,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
141,Rubber,Ingredients,Stationary,Stationary,Box,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
142,Broccoli Green,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
143,Cabbage Green,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
144,Capsicum Red Yellow,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
145,Cucumber,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
146,Garlic,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
147,Ladysfinger,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
148,Lemon,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
149,Lotus Stem,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
150,Leek,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
151,Nira,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
152,Onion,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
153,Radish,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
154,Spring Onion,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
155,Carrot Orange,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
156,Brinjal Round,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
157,Ginger,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
158,Mint,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
159,Potato,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
160,Pok Choy,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
161,Red Cabbage,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
162,Green Batavia,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
163,Lollo Rosso,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
164,Lollo Bionda,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
165,Mushroom,Ingredients,Vegtables,Vegtables,Kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
166,Tofu,Ingredients,Vegtables,Vegtables,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
167,Banana,Ingredients,Vegtables,Vegtables,pcs,pcs,,,,1,,,,,,,,,,,,,,,,,,,,,,
